"titulo","titulo_fonte","genero","genero_fonte","diretor","diretor_fonte","dataLancamento","dataLancamento_fonte","nota","nota_fonte","atores","atores_fonte","distribuidora","distribuidora_fonte","captado","captado_fonte","maximo_numero_de_salas","maximo_numero_de_salas_fonte","bilheteria","bilheteria_fonte","publico","publico_fonte","classificacao_indicativa","classificacao_indicativa_fonte","titulo_filme_anterior","publico_filme_anterior","fonte_publico_filme_anterior","nome_programaTv","pontos_ibobeSP_Ano_do_lancamento","fonte_pontos_ibobeSP_Ano_do_lancamento","relancamento","temFilmeAnterior","filmeBaseadoSerieTV"
"a guerra dos vizinhos","filmeB","Comédia","ministerioDaJustica","rubens xavier","ministerioDaJustica",2010-09-24,"filmeB","3","imdb","eva wilma / tony correa","ministerioDaJustica","polifilmes / raiz","ministerioDaJustica",1037120.37561646,"ancine",8,"ancine",103444.114797945,"ancine",3618,"filmeB","12","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"a história das três marias","ancine","Documentário","ministerioDaJustica","silvana soares silva / zaquia j. daura resende","ministerioDaJustica",2007-08-29,"otempo",NA,NA,"documentario",NA,"zs_tres_marias","ministerioDaJustica",264246.561705148,"ancine",1,"ancine",NA,NA,NA,NA,"0","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"a hora mágica","ancine","Comédia / Drama / Romance","imdb","guilherme de almeida prado","ministerioDaJustica",1999-01-29,"folha","4","imdb","raul gazolla / julia lemmertz / jose lewgoy / maite proenca","ministerioDaJustica","riofilme","ministerioDaJustica",2990743.05064623,"ancine",7,"ancine",83443.8185821737,"ancine",5999,"ancine","12","ministerioDaJustica",NA,0,NA,NA,0,NA,TRUE,FALSE,FALSE
"a hora marcada","ancine","Suspense","ministerioDaJustica","marcelo taranto","ministerioDaJustica",2001-05-11,"folha","3","imdb","gracindo junior / osmar prado / fabio assuncao / cassia kiss","ministerioDaJustica","mt","ministerioDaJustica",4145990.31063449,"ancine",18,"ancine",204884.879910565,"ancine",16441,"ancine","16","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"a ilha da morte","filmeB","Aventura","ministerioDaJustica","wolney oliveira","ministerioDaJustica",2009-05-08,"filmeB","4","interfilmes","caleb casas / isabel santos / laura ramos","ministerioDaJustica","imovision","ministerioDaJustica",1944895.69753693,"ancine",4,"ancine",30328.6127455916,"ancine",2285,"filmeB","14","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"a ilha do terrivel rapaterra","filmeB","Drama","ministerioDaJustica","ariane porto","ministerioDaJustica",2006-10-20,"adorocinema","2","imdb","lima duarte / tadeu mello / arlete salles","ministerioDaJustica","california","ministerioDaJustica",2841369.3817464,"ancine",37,"filmeB",55665.7979836369,"ancine",5240,"filmeB","0","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"ainda orangotangos","filmeB","Drama","ministerioDaJustica","gustavo spolidoro","ministerioDaJustica",2008-08-29,"filmeB","3","imdb","karina kazue / lindon shimizu / artur jose pinto / kayode silva / janaina kremer motta","ministerioDaJustica","providence","ministerioDaJustica",210986.399336555,"ancine",3,"filmeB",69016.8317774062,"ancine",15877,"filmeB","14","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"alem da estrada","filmeB","Romance","adorocinema","charly braun","ministerioDaJustica",2011-09-09,"filmeB","3","imdb","esteban feune de colombi","ministerioDaJustica","vitrine","ministerioDaJustica",653055.614605388,"ancine",15,"ancine",162898.377722521,"ancine",15934,"ancine","14","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"alô","ancine","Comédia","ministerioDaJustica","mara mourao","ministerioDaJustica",1998-07-23,"folha","3","imdb","betty lago / herbert richers jr. / myrian muniz / wellington nogueira","ministerioDaJustica","riofilme","ministerioDaJustica",1436331.09496314,"ancine",NA,NA,33803.9184434391,"ancine",2703,"ancine","12","ministerioDaJustica",NA,0,NA,NA,0,NA,TRUE,FALSE,FALSE
"alo alo terezinha","filmeB","Documentário","ministerioDaJustica","nelson hoineff","ministerioDaJustica",2009-10-30,"filmeB","3","imdb","documentario",NA,"imovision","ministerioDaJustica",1175410.93222446,"ancine",58,"ancine",285612.464210141,"ancine",27339,"filmeB","14","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"amanha nunca mais","filmeB","Drama / Comédia","ministerioDaJustica","tadeu jungle","ministerioDaJustica",2011-11-11,"filmeB","3","imdb","lazaro ramos / maria luisa mendonca","ministerioDaJustica","fox","ministerioDaJustica",3170741.63190345,"ancine",16,"filmeB",241701.965598968,"ancine",20863,"filmeB","12","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"amantes do futebol","filmeB","Biografia / Documentário / Épico / Esporte","imdb","eduardo baggio","imdb",2010-02-19,"filmeB",NA,NA,"documentario",NA,"moro","filmeB",NA,NA,NA,NA,NA,NA,NA,NA,"0","guia.gazetadopovo",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"a maquina","filmeB","Drama","ministerioDaJustica","joao falcao","ministerioDaJustica",2006-03-24,"adorocinema","4","imdb","paulo autran / wagner moura / mariana ximenes","ministerioDaJustica","columbia","ministerioDaJustica",7441301.20634321,"ancine",70,"filmeB",656621.640535066,"ancine",56088,"filmeB","0","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"amarelo manga","filmeB","Drama","imdb","claudio assis","ministerioDaJustica",2003-08-15,"adorocinema","3","imdb","matheus nachtergaele / jonas bloch / dira paes / chico diaz","ministerioDaJustica","riofilme","ministerioDaJustica",701562.627339653,"ancine",14,"filmeB",1347482.41475043,"ancine",129021,"filmeB","18","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"a margem da imagem","filmeB","Documentário","imdb","evaldo mocarzel","ancine",2004-09-17,"imdb","4","imdb","documentario",NA,"mais","filmeB",488303.631852204,"ancine",3,"filmeB",20108.3435596738,"ancine",1728,"filmeB","10","infonet.com.br/sysinfonet/publico",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"a margem da linha","ancine","Documentário","ministerioDaJustica","gisela callas","ministerioDaJustica",2008-11-07,"adorocinema",NA,NA,"documentario",NA,"cinerama_filmes_-_cf","ministerioDaJustica",132736.109317346,"ancine",7,"ancine",2919.87583831926,"ancine",396,"ancine","0","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"a margem do concreto","filmeB","Documentário","ministerioDaJustica","evaldo mocarzel","ministerioDaJustica",2007-03-02,"filmeB","3","imdb","documentario",NA,"mais","ministerioDaJustica",724008.448372046,"ancine",3,"ancine",6821.98788509541,"ancine",718,"filmeB","0","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"a margem do lixo","filmeB","Documentário","ministerioDaJustica","evaldo mocarzel","ministerioDaJustica",2011-11-04,"filmeB","3","adorocinema -- critica","documentario",NA,"raiz","ministerioDaJustica",672096.226518477,"ancine",5,"ancine",1691.28491053455,"ancine",233,"ancine","0","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
